Deyimler;Türkçe Anlamı
Abayı yakmak;Gönül verip âşık olmak, tutulmak
Açığa vurmak;Gizli, saklı bir şeyi herkese duyurmak, ortaya çıkarmak
Açığını bulmak;Herhangi bir işteki eksiği, hileyi veya zararı ortaya çıkarmak
Açmaza düşmek;İçinden çıkılması oldukça güç bir durumda kalmak
Adam olmak;Yetişip büyümek, gelişmek, iş güç sahibi olmak
Adı çıkmak;Kötü bir şöhret kazanmak
Ağzı (bir karış) açık kalmak;Çok şaşırmak, şaşakalmak
Ağzı kulaklarına varmak;Çok sevinmek, sevindiği her hâlinden belli olmak
Ağzında bakla ıslanmamak;Sır saklamayı becerememek, sırrı hemen açığa vurmak
Ağzı süt kokmak;Çok genç, toy ve tecrübesiz olmak
Akan sular durmak;Artık itiraz edilebilecek, karşı durulacak bir nokta kalmamak
Aklı başına gelmek;Zarar gördüğü işlerden uslanıp akıllıca davranmak
Aklı çıkmak;Titizlikle üzerinde durmak, çok korku geçirmek, çok korkmak
Aklı kesmek;Bir şeyin olabileceğine, bir şeyi yapabileceğine inanmak
Aklı çıkmak;çok korku geçirmek, çok korkmak
Aklı karışmak;Ne yapacağını bilememek, bocalamak, şaşırmak
Aklına koymak;Bir şeyi yapmaya kesin olarak karar vermek
Aklını başına almak / toplamak / devşirmek;Mantıksız, ölçüsüz davranışlarda bulunmaktan kendini kurtararak akıllıca bir yola girmek
Aklını (bir şeyle) bozmak;Sapıtmak, delirmek
Aklını çelmek;Kararından, niyetinden vazgeçirip başka bir yola sokmak
Al aşağı etmek;Birini bulunduğu yerden, mevkiden indirmek
Al birini vur ötekine;Hepsi aynı, bir ayarda, hiçbiri işe yaramaz.
Alın teri dökmek;Zahmetli iş görüp çok emek vermek
Allak bullak etmek;Kurulu düzeni bozmak, karmakarışık bir duruma getirmek
Allayıp pullamak;Kötü görünüşü kapatmak için bir şeyi süslemek, donatmak
Allem etmek, kallem etmek;İstediğini elde etmek için her türlü kurnazlığa başvurmak
Alnının akıyla;"Küçümsenecek, ayıplanacak bir duruma düşmeden; tertemiz, şerefiyle, başarılı olarak"
Alnının kara yazısı;Kötü talih, baht
Altında kalmamak;Bir şeyi karşılıksız bırakmamak
Altından kalkmak;Bir zorluğu yenip işi başarmak
Altını üstüne getirmek;Bir şeyi bulmak için aramadık yer bırakmamak
Alttan almak;Sert konuşan birine karşı yumuşak, olumlu, onu haklı görüyormuş gibi tavır almak
Aman dilemek;Önce direnirken zor karşısında boyun eğip canının bağışlanmasını istemek, galip gelenin merhametine sığınmak
Aman vermemek;Göz açtırmamak, rahat bırakmamak
Ana kuzusu;Sıkıntıya, güç işlere alışkın olmayan, nazlı çocuk veya genç
Anası ağlamak;Çok eziyet çekmek, sıkıntıya katlanmak, bitkin duruma düşmek
Anasından doğduğuna pişman etmek;Çok eziyet ederek canından bezdirmek, bir kimseyi çok üzmek
Anasını ağlatmak;Bir kimseye çok eziyet edip sıkıntı çektirmek
Anca beraber, kanca beraber;Birbirimizden ayrılmayacağız, işler iyi de gitse, kötü de gitse hep birlikte yapacağız, beraberliği bozmayacağız
Ara bulmak;Birbirleriyle anlaşamayan, bir araya gelemeyen kişileri uzlaştırmak, barıştırmak
Araları açılmak;"İyi ilişkileri, dostlukları, arkadaşlık bağları kopmak; birbirlerine dargın hâle gelmek"
Aralarından kara kedi geçmek;İyi anlaşan iki kişinin veya dostun ilişkileri bozulmak, aralarına soğukluk girmek, birbirlerine gücenmek
Aralarından su sızmamak;Çok iyi, çok yakın dostluk veya arkadaşlık kurmak, ahbap olmak
Arap saçına dönmek;İşlerin çok karışıp içinden çıkılmaz bir durum alması
Arayı yapmak;rası açık olan iki kişiyi uzlaştırıp, barıştırmak
Ar damarı çatlamak;Utanç duyulacak şeyleri sıkılmadan yapmak, utanmayı bırakmak, yüzsüz olmak
Arı kovanı gibi işlemek;Girip çıkanı, gelip gideni çok olmak
Arka çıkmak;"Birilerine karşı, birini korumak; savunmak, kayırmak"
Arkadan vurmak;Kendisine inanan, güvenen bir kimseye gizlice kötülük etmek
Armut piş, ağzıma düş;Bir işin hiç emek harcamadan olmasını, kendiliğinden hazır olup ayağına gelmesini bekleyenlerin durumu
Arpa boyu kadar gitmek;Çok az ilerlemek
Asıp kesmek;İşkence etmek, zalimce tavırlarda bulunmak
Askıya almak;Geciktirmek, belirsiz olarak ertelemek, bir işi zamanında yapmayıp savsaklamak
Aslı astarı olmamak;Yalan, asılsız olmak, gerçek payı bulunmamak
Astığı astık, kestiği kestik;Davranışlarından dolayı kimseye hesap vermeyen, istediği gibi davranan, çok sert kimseler
Aşağı tükürsen sakal, yukarı tükürsen bıyık;Sakıncalı oluşları eşit olan iki karşıt davranıştan birine karar verememe zorunluluğu
Ateş bacayı sarmak;Bir iş ya da olay önüne geçilemez, tehlikeli bir durum almak
Ateşe atmak;Birini çok tehlikeli bir işe bile bile sokmak
Ateşle oynamak;Çok tehlikeli, zarar verecek bir işin üstüne üstüne gitmek ya da böyle bir işe girişmek
Ateş pahası;Çok pahalı
Ateş püskürmek;Çok öfkeli olmak, ağır sözler söylemek
Atı alan Üsküdar`ı geçti;Fırsat kaçtı, artık yapılacak şey kalmadı
Atıp tutmak;Kendi gücünü aşacağı işler yapacağını söylemek, abartılı konuşmak, Birisinin arkasından ileri geri konuşmak, kötü sözler etmek
Attan inip eşeğe binmek;Bulunduğu dereceden, mevkiden, önemli görevden daha aşağı bir yere inmek veya alınmak
Avucunu yalamak;Umduğunu ele geçirememek, beklediğini elde edememek
Ayağı ile gelmek;Kendi isteği ile gelmek
Ayağına dolaşmak / dolanmak;Birisinin yaptığı işe engel olmak
Ayağına kapanmak;Kendini küçük düşürerek yalvarıp yakarmak
ayaklarına kara su inmek;Bir yerde ayakta beklemekten veya uzun süre dolaşmaktan çok yorulmak
Ayağını çekmek;Daha önce gittiği yere artık uğramaz olmak, ilişkiyi ve ilgiyi kesmek
Ayağını denk almak;Birilerinin kendisine karşı yapacakları muhtemel kötülüklere karşı uyanık davranmak, tedbirli olmak
Ayağını kaydırmak;Bir yolunu bularak birini bulunduğu işten, mevkiden uzaklaştırmak
Ayağının tozuyla;Henüz dinlenmeden, yoldan gelir gelmez
Ayağını sürümek;Verilen bir görevi ağırdan yapmak
Ayağını yorganına göre uzatmak;Gelirini giderine uydurmak, harcamalarda geliri aşmamak
Ayak diremek;Bir şeyde ısrar etmek, karşı koymak, kendi kararından vazgeçmemek
Ayaklar altına almak;Önem verilmesi gereken şeyleri hiçe saymak, çiğnemek
Ayakları geri geri gitmek;Bir yere istemeye istemeye, gönülsüz gitmek
Ayaklı kütüphane;Çok şey okumuş, her sorulana cevap veren, çok şey bilen, okudukları aklında kalmış kimse
Ayak takımı;İşe yaramaz, bilgisiz, görgüsüz, kaba, serseri, değersiz kimselerin bütünü
Ayak uydurmak;Kendi gidiş ve davranışını başkasınınkine benzetmek
Ayak üstü / üzeri;Kısa süre içinde, acele olarak
Ayıkla pirincin taşını;Bir işin oldukça karışık, dolaşık, içinden çıkılması güç olduğu
Babasının hayrına;Hiçbir çıkar elde etmeden, sadece iyilik olsun diye
Bacak kadar;"Ufak tefek; kısa boylu "
Bağrına basmak;Sevgi gösterip onu koruyuculuğuna almak
Bağrı yanık;Çok dertli, acılı (kimse).
Bahtı açık;"İşleri yolunda giden; talihi açık, şansı açık"
Bahtı bağlı olmak; İşleri İstediği gibi yürümemek
Bahtı kara;Talihi kötü olan
Baklayı ağzından çıkarmak;Gizli tuttuğu şeyleri açıklamak
Bal gibi;Pekâlâ, adamakıllı
Balık istifi;Çok sıkışık , üst üste, kalabalık
Baltayı taşa vurmak;Farkında olmadan karşısındakini rahatsız edecek, kızdıracak söz söylemek
Bam teline basmak;Bir kimseyi duyarlı olduğu bir konuda kızdıracak söz söylemek, davranışta bulunmak
Bana mısın dememek;Zorlu bir işe, etkene vb’ye dayanmak, bunlardan hiç etkilenmemek
Baston yutmuş gibi;Sallanmadan, dimdik
Başa baş;Eşit, denk
Başı çekmek;Bir işte ön ayak olmak, bir işin yapılmasında öncü olmak
Başı dara düşmek;Sıkıntılı bir durum içinde olmak
Başı dik;"Onurlu; onurlu biçimde"
Başı dumanlı;Açık seçik düşünebilecek, karar verebilecek, durum da olmayan
Başı göğe ermek;"Beklenmedik bir anda büyük bir mutluluğa kavuşmak; bundan ötürü çok böbürlenmek"
Başına buyruk;Hiç kimseden izin almak gereğini duymadan, istediği gibi davranan
Başına çıkarmak;"Birinin hoşgörüsünü, yakınlığını fırsat bilip şımarıkça davranmak; tepesine çıkmak"
Başına çorap örmek;"Birini kötü duruma düşürmek için gizli plan hazırlamak; çorap örmek"
Başına kakmak;Yaptığı iyiliği, iyilik yaptığı kimsenin yüzüne karşı söyleyerek onu incitmek
Başına vur, ağzından lokmasını al;Uysal, boyun eğen
Başından atmak;Rahatsızlık veren, artık sıkıcı olan bir kimseyle ilişkiye son vermek
Başından büyük işlere girişmek;Bilgi, beceri ve yetkisini aşan işleri yapmak istemek, bunlara yeltenmek
Başından (aşağı) kaynar su (sular) dökülmek;Üzücü, utandırıcı bir olay, durum karşısında büyük bir sıkıntı duymak
Başından savmak;Onu herhangi bir bahane ile uzaklaştırmak
Başını döndürmek;Çok beğenmek, büyük bir ilgi duymak
Başının etini yemek;"Birisinden ısrarla, bıkkınlık verecek ölçüde bir şeyler istemek; kafasının etini yemek"
Başını şişirmek;Çok konuşmak ya da gürültü vb. ederek başının ağrımasına yol açmak
