Deyimler;Türkçe Anlamı;İngilizce Anlamı
Abayı yakmak;Gönül verip âşık olmak, tutulmak;To be in love with heart, to be held
Açığa vurmak;Gizli, saklı bir şeyi herkese duyurmak, ortaya çıkarmak;To announce something hidden, hidden to everyone
Açığını bulmak;Herhangi bir işteki eksiği, hileyi veya zararı ortaya çıkarmak;To reveal the lack of any work, the trick or damage
Açmaza düşmek;İçinden çıkılması oldukça güç bir durumda kalmak;Stay in a very difficult situation to get out of
Adam olmak;Yetişip büyümek, gelişmek, iş güç sahibi olmak;Growing up and growing, developing, having business power
Adı çıkmak;Kötü bir şöhret kazanmak;Win a bad fame
Ağzı (bir karış) açık kalmak;Çok şaşırmak, şaşakalmak;To be surprised, to be surprised
Ağzı kulaklarına varmak;Çok sevinmek, sevindiği her hâlinden belli olmak;To be very happy, to be clear from every state it is happy with
Ağzında bakla ıslanmamak;Sır saklamayı becerememek, sırrı hemen açığa vurmak;Not being able to hide a secret, revealing the secret immediately
Ağzı süt kokmak;Çok genç, toy ve tecrübesiz olmak;To be very young, toy and inexperienced
Akan sular durmak;Artık itiraz edilebilecek, karşı durulacak bir nokta kalmamak;There is no longer a point to appeal and focused on
Aklı başına gelmek;Zarar gördüğü işlerden uslanıp akıllıca davranmak;To behave wisely
Aklı çıkmak;Titizlikle üzerinde durmak, çok korku geçirmek, çok korkmak;To focus on meticulously, to have a lot of fear, to be very afraid
Aklı kesmek;Bir şeyin olabileceğine, bir şeyi yapabileceğine inanmak;Believing that something can happen, you can do something
Aklı çıkmak;çok korku geçirmek, çok korkmak;To spend a lot of fear, to be very afraid
Aklı karışmak;Ne yapacağını bilememek, bocalamak, şaşırmak;Not knowing what to do
Aklına koymak;Bir şeyi yapmaya kesin olarak karar vermek;Decide for a definitely
Aklını başına almak / toplamak / devşirmek;Mantıksız, ölçüsüz davranışlarda bulunmaktan kendini kurtararak akıllıca bir yola girmek;Entering a wise path by saving himself from doing unreasonable, excessive behavior
